country_name,year,COWcode,v2x_polyarchy,v2x_libdem,v2x_partipdem,e_wb_pop,e_gdp,e_gdppc,v2x_ex_military,government,continent
Mexico,2000,70,0.664,0.481,0.418,97873442,312023.341,29.475,0,Republic/Democracy,Americas
Mexico,2001,70,0.677,0.489,0.423,99394288,318859.46,29.721,0,Republic/Democracy,Americas
Mexico,2002,70,0.688,0.495,0.428,100917081,323230.791,29.761,0,Republic/Democracy,Americas
Mexico,2003,70,0.699,0.502,0.436,102429341,328858.217,29.941,0,Republic/Democracy,Americas
Mexico,2004,70,0.71,0.511,0.443,103945813,339273.714,30.521,0,Republic/Democracy,Americas
Mexico,2005,70,0.71,0.511,0.443,105442402,351274.699,31.174,0.059,Republic/Democracy,Americas
Mexico,2006,70,0.671,0.479,0.416,106886790,363774.274,31.873,0.088,Republic/Democracy,Americas
Mexico,2007,70,0.637,0.452,0.395,108302973,373544.108,32.268,0.088,Republic/Democracy,Americas
Mexico,2008,70,0.642,0.455,0.4,109684489,378916.61,32.279,0.088,Republic/Democracy,Americas
Mexico,2009,70,0.648,0.46,0.403,111049428,377959.787,31.734,0.088,Republic/Democracy,Americas
Mexico,2010,70,0.661,0.47,0.413,112532401,389752.673,32.25,0.088,Republic/Democracy,Americas
Mexico,2011,70,0.66,0.469,0.411,114150481,403799.234,32.958,0.088,Republic/Democracy,Americas
Mexico,2012,70,0.649,0.461,0.405,115755909,415850.355,33.482,0.088,Republic/Democracy,Americas
Mexico,2013,70,0.623,0.425,0.375,117290686,423815.579,33.742,0.1,Republic/Democracy,Americas
Mexico,2014,70,0.62,0.424,0.374,118755887,429987.309,33.886,0.1,Republic/Democracy,Americas
Mexico,2015,70,0.639,0.433,0.398,120149897,432220.1,33.828,0.115,Republic/Democracy,Americas
Mexico,2016,70,0.64,0.433,0.395,121519221,440041.959,34.098,0.115,Republic/Democracy,Americas
Mexico,2017,70,0.635,0.439,0.405,122839258,449152.118,34.425,0.077,Republic/Democracy,Americas
Mexico,2018,70,0.675,0.455,0.426,124013861,455569.106,34.575,0.125,Republic/Democracy,Americas
Mexico,2019,70,0.685,0.434,0.416,125085311,456743.982,34.308,0.182,Republic/Democracy,Americas
Mexico,2020,70,0.663,0.406,0.408,125998302,NA,NA,0.136,Republic/Democracy,Americas
Mexico,2021,70,0.618,0.37,0.394,126705138,NA,NA,0.091,Republic/Democracy,Americas
Mexico,2022,70,0.586,0.334,0.406,127504125,NA,NA,0.1,Republic/Democracy,Americas
Mexico,2023,70,0.549,0.307,0.387,NA,NA,NA,0.1,Republic/Democracy,Americas
Mexico,2024,70,0.505,0.251,0.345,NA,NA,NA,0.111,Republic/Democracy,Americas
Sweden,2000,380,0.911,0.877,0.685,8872109,80951.195,85.449,0,Constitutional monarchy,Europe
Sweden,2001,380,0.911,0.877,0.683,8895960,82737.245,87.077,0,Constitutional monarchy,Europe
Sweden,2002,380,0.91,0.876,0.68,8924958,85098.974,88.98,0,Constitutional monarchy,Europe
Sweden,2003,380,0.909,0.874,0.683,8958229,87297.55,90.906,0,Constitutional monarchy,Europe
Sweden,2004,380,0.909,0.874,0.683,8993531,90013.789,93.453,0,Constitutional monarchy,Europe
Sweden,2005,380,0.909,0.874,0.683,9029572,92533.885,95.634,0,Constitutional monarchy,Europe
Sweden,2006,380,0.911,0.877,0.685,9080505,95806.555,98.394,0,Constitutional monarchy,Europe
Sweden,2007,380,0.915,0.881,0.689,9148092,98600.736,100.437,0,Constitutional monarchy,Europe
Sweden,2008,380,0.915,0.881,0.685,9219637,99369.612,100.491,0,Constitutional monarchy,Europe
Sweden,2009,380,0.915,0.881,0.682,9298515,98928.992,99.215,0,Constitutional monarchy,Europe
Sweden,2010,380,0.915,0.882,0.679,9378126,101512.839,100.824,0,Constitutional monarchy,Europe
Sweden,2011,380,0.917,0.884,0.677,9449213,103361.436,101.7,0,Constitutional monarchy,Europe
Sweden,2012,380,0.918,0.887,0.675,9519374,104043.225,101.698,0,Constitutional monarchy,Europe
Sweden,2013,380,0.918,0.887,0.671,9600379,104939.272,101.86,0,Constitutional monarchy,Europe
Sweden,2014,380,0.916,0.886,0.663,9696110,106011.107,102.222,0,Constitutional monarchy,Europe
Sweden,2015,380,0.916,0.883,0.659,9799186,106341.731,102.067,0,Constitutional monarchy,Europe
Sweden,2016,380,0.917,0.884,0.659,9923085,108333.4,103.264,0,Constitutional monarchy,Europe
Sweden,2017,380,0.917,0.884,0.656,10057698,111287.254,105.145,0,Constitutional monarchy,Europe
Sweden,2018,380,0.91,0.878,0.654,10175214,113307.603,106.273,0,Constitutional monarchy,Europe
Sweden,2019,380,0.902,0.871,0.65,10278887,114258.133,106.746,0,Constitutional monarchy,Europe
Sweden,2020,380,0.902,0.87,0.649,10353442,NA,NA,0,Constitutional monarchy,Europe
Sweden,2021,380,0.903,0.869,0.651,10415811,NA,NA,0,Constitutional monarchy,Europe
Sweden,2022,380,0.896,0.864,0.645,10486941,NA,NA,0,Constitutional monarchy,Europe
Sweden,2023,380,0.881,0.845,0.63,NA,NA,NA,0,Constitutional monarchy,Europe
Sweden,2024,380,0.881,0.845,0.63,NA,NA,NA,0,Constitutional monarchy,Europe
Ghana,2000,452,0.671,0.58,0.355,19665502,11334.533,5.555,0.25,Republic/Democracy,Africa
Ghana,2001,452,0.726,0.628,0.387,20195577,11697.724,5.607,0.25,Republic/Democracy,Africa
Ghana,2002,452,0.733,0.635,0.39,20758326,12189.5,5.714,0.25,Republic/Democracy,Africa
Ghana,2003,452,0.733,0.638,0.393,21329514,12817.572,5.866,0.25,Republic/Democracy,Africa
Ghana,2004,452,0.744,0.648,0.398,21906444,13560,6.054,0.25,Republic/Democracy,Africa
Ghana,2005,452,0.736,0.639,0.392,22496951,14360.712,6.252,0.158,Republic/Democracy,Africa
Ghana,2006,452,0.736,0.639,0.39,23098586,15262.711,6.471,0.158,Republic/Democracy,Africa
Ghana,2007,452,0.738,0.64,0.39,23708320,16244.66,6.7,0.158,Republic/Democracy,Africa
Ghana,2008,452,0.737,0.639,0.387,24326087,17444.423,7.019,0.158,Republic/Democracy,Africa
Ghana,2009,452,0.759,0.659,0.399,24950762,18565.738,7.293,0.158,Republic/Democracy,Africa
Ghana,2010,452,0.766,0.671,0.402,25574719,20156.102,7.728,0.175,Republic/Democracy,Africa
Ghana,2011,452,0.766,0.671,0.399,26205941,22396.116,8.378,0.175,Republic/Democracy,Africa
Ghana,2012,452,0.776,0.67,0.403,26858762,24511.663,8.956,0.175,Republic/Democracy,Africa
