country,year,n_conflict_events,total_fatalities,iso3c,continent,population,gdp_pc,edu,child_mort
Afghanistan,1989,145,5411,AFG,Asia,NA,NA,NA,NA
Afghanistan,1990,45,1514,AFG,Asia,12045660,NA,30.983039855957,180.7
Afghanistan,1991,64,3553,AFG,Asia,12238879,NA,31.6050205230713,174.4
Afghanistan,1992,76,4385,AFG,Asia,13278974,NA,NA,168.5
Afghanistan,1993,115,4105,AFG,Asia,14943172,NA,33.955249786377,163
Afghanistan,1994,244,9056,AFG,Asia,16250794,NA,44.7888412475586,157.7
Afghanistan,1995,219,5618,AFG,Asia,17065836,NA,47.6614418029785,152.8
Afghanistan,1996,234,3595,AFG,Asia,17763266,NA,NA,148.3
Afghanistan,1997,199,6721,AFG,Asia,18452091,NA,NA,144.1
Afghanistan,1998,217,12174,AFG,Asia,19159996,NA,32.9843292236328,139.9
Afghanistan,1999,189,5065,AFG,Asia,19887785,NA,26.2905292510986,135.8
Afghanistan,2000,207,5394,AFG,Asia,20130327,308.318269746638,21.4578495025635,131.7
Afghanistan,2001,263,5553,AFG,Asia,20284307,277.118051443941,22.1396503448486,127.4
Afghanistan,2002,94,1157,AFG,Asia,21378117,338.139973643387,73.4013137817383,123.1
Afghanistan,2003,186,944,AFG,Asia,22733049,346.071627096223,95.3357467651367,118.7
Afghanistan,2004,241,817,AFG,Asia,23560654,338.637273888197,105.475051879883,114.2
Afghanistan,2005,430,1711,AFG,Asia,24404567,363.640141436773,99.50390625,109.7
Afghanistan,2006,848,4982,AFG,Asia,25424094,367.75831169358,102.284866333008,105.1
Afghanistan,2007,1044,7037,AFG,Asia,25909852,410.757728879097,99.3228988647461,100.7
Afghanistan,2008,1115,5661,AFG,Asia,26482622,417.647282647498,104.445137023926,96.3
Afghanistan,2009,1514,6499,AFG,Asia,27466101,488.830652491949,99.7054214477539,92.2
Afghanistan,2010,1806,7151,AFG,Asia,28284089,542.871030476037,103.48560333252,88.3
Afghanistan,2011,2197,7563,AFG,Asia,29347708,525.42698276582,101.542083740234,84.6
Afghanistan,2012,2301,7783,AFG,Asia,30560034,568.929021458341,106.575317382812,81.2
Afghanistan,2013,1926,8131,AFG,Asia,31622704,580.603833333096,107.942840576172,78
Afghanistan,2014,2119,12549,AFG,Asia,32792523,575.146245808546,109.829452514648,75.1
Afghanistan,2015,2266,18018,AFG,Asia,33831764,565.569730408751,106.773551940918,72.4
Afghanistan,2016,2428,19025,AFG,Asia,34700612,563.872336723147,106.784042358398,70
Afghanistan,2017,2482,19784,AFG,Asia,35688935,562.769574140988,106.54354095459,67.6
Afghanistan,2018,3724,26895,AFG,Asia,36743039,553.125151688293,107.687660217285,65.4
Afghanistan,2019,4682,30435,AFG,Asia,37856121,557.861533207459,109.075309753418,63.3
Afghanistan,2020,3317,20834,AFG,Asia,39068979,527.834554499306,NA,61.3
Afghanistan,2021,4512,36386,AFG,Asia,40000412,408.625855217403,NA,59.3
Afghanistan,2022,416,1574,AFG,Asia,40578842,377.665627080705,NA,57.4
Afghanistan,2023,176,360,AFG,Asia,41454761,378.06630312259,NA,55.5
Afghanistan,2024,179,353,AFG,Asia,42647492,NA,NA,NA
Albania,1999,10,26,ALB,Europe,3108778,1841.80762760566,NA,28.4
Algeria,1990,1,1,DZA,Africa,25375810,3605.68701212608,96.0173721313477,51.7
Algeria,1991,4,34,DZA,Africa,25987928,3478.50976269176,96.9083023071289,50.9
Algeria,1992,120,274,DZA,Africa,26628568,3455.92936294162,98.2018127441406,50.4
Algeria,1993,269,826,DZA,Africa,27277048,3302.91950568634,97.7574462890625,49.8
Algeria,1994,350,1943,DZA,Africa,27887279,3201.56914402566,98.4046096801758,49
Algeria,1995,394,3059,DZA,Africa,28470191,3255.18726869561,98.6724166870117,48.1
Algeria,1996,123,1091,DZA,Africa,29033044,3322.95538141474,100.232383728027,47
Algeria,1997,128,2008,DZA,Africa,29579301,3297.46603361265,101.960678100586,45.8
Algeria,1998,383,3284,DZA,Africa,30054133,3410.88254401644,103.693977355957,44.5
Algeria,1999,226,1168,DZA,Africa,30474354,3471.49196276497,106.491363525391,43.1
Algeria,2000,252,1193,DZA,Africa,30903893,3553.32420521991,109.734397888184,41.6
Algeria,2001,80,674,DZA,Africa,31331221,3610.00605631983,109.017837524414,40.1
Algeria,2002,225,1058,DZA,Africa,31750835,3754.66081538446,110.677276611328,38.5
Algeria,2003,209,714,DZA,Africa,32175818,3945.89816094007,111.387786865234,37
Algeria,2004,219,500,DZA,Africa,32628286,4066.28204806495,111.655128479004,35.4
Algeria,2005,72,232,DZA,Africa,33109249,4223.60252133943,112.398590087891,34
Algeria,2006,91,292,DZA,Africa,33623506,4279.61547120827,112.077087402344,32.6
Algeria,2007,128,495,DZA,Africa,34189416,4339.25055772831,112.334480285645,31.3
Algeria,2008,111,345,DZA,Africa,34816961,4367.56538017541,110.910949707031,30.1
Algeria,2009,191,541,DZA,Africa,35490445,4336.10054052949,113.491889953613,29
Algeria,2010,92,252,DZA,Africa,36188236,4456.6102741643,113.807026512965,28.1
Algeria,2011,125,276,DZA,Africa,36903376,4501.3543013352,112.733764527322,27.3
Algeria,2012,124,264,DZA,Africa,37646166,4518.43978956464,112.067747390185,26.6
Algeria,2013,73,222,DZA,Africa,38414171,4543.23444006767,112.336630248486,26
Algeria,2014,43,111,DZA,Africa,39205031,4634.10149179952,111.144837219297,25.4
Algeria,2015,46,110,DZA,Africa,40019529,4685.05902729002,109.584787441309,24.9
Algeria,2016,27,89,DZA,Africa,40850721,4768.73140081027,109.072307418092,24.5
Algeria,2017,26,77,DZA,Africa,41689299,4742.90075532529,108.062271942986,24
Algeria,2018,10,35,DZA,Africa,42505035,4717.0035885361,107.095121871029,23.7
Algeria,2019,9,15,DZA,Africa,43294546,4672.66408678635,106.067513980116,23.3
Algeria,2020,17,28,DZA,Africa,44042091,4363.68533767783,108.531941210547,22.9
Algeria,2021,6,18,DZA,Africa,44761099,4456.74687637774,104.739764213022,22.6
Algeria,2022,3,14,DZA,Africa,45477389,4544.46688060372,105.74715363116,22.3
Algeria,2023,1,1,DZA,Africa,46164219,4660.40545687895,105.840748480875,22
Algeria,2024,1,3,DZA,Africa,46814308,4765.72900168387,106.368889468205,NA
Angola,1989,260,2873,AGO,Africa,NA,NA,NA,NA
Angola,1990,181,2609,AGO,Africa,11626360,2675.05239370666,81.0857772827148,222.7
Angola,1991,19,516,AGO,Africa,12023529,2612.33170523819,73.8994369506836,222.5
Angola,1992,38,2352,AGO,Africa,12423712,2380.58274213388,70.7553787231445,222.4
Angola,1993,220,12398,AGO,Africa,12827135,1752.72318662558,NA,222
Angola,1994,320,4009,AGO,Africa,13249764,1719.54294465223,NA,221.6
Angola,1995,76,238,AGO,Africa,13699778,1912.51777523397,NA,220.7
Angola,1996,28,32,AGO,Africa,14170973,2099.3504538481902,NA,218.9
Angola,1997,35,105,AGO,Africa,14660413,2176.87757986492,NA,216.2
Angola,1998,110,1191,AGO,Africa,15159370,2203.98692701325,76.634407043457,212.6
Angola,1999,245,2666,AGO,Africa,15667235,2179.06426975438,NA,208.2
Angola,2000,130,1209,AGO,Africa,16194869,2172.46326720494,NA,203
Angola,2001,124,2158,AGO,Africa,16747208,2189.17352158246,NA,196.9
Angola,2002,69,579,AGO,Africa,17327699,2404.97792071531,NA,189.9
Angola,2003,37,84,AGO,Africa,17943712,2403.40415157038,NA,182.2
Angola,2004,19,38,AGO,Africa,18600423,2583.32411461288,NA,173.8
Angola,2005,13,15,AGO,Africa,19291161,2843.3966357968,NA,165
Angola,2006,12,3,AGO,Africa,20015279,3065.05576243895,NA,155.5
Angola,2007,22,26,AGO,Africa,20778561,3336.36332465208,106.341453552246,146
Angola,2008,9,4,AGO,Africa,21578655,3559.19522512236,113.292236328125,137
Angola,2009,9,25,AGO,Africa,22414773,3494.80724466172,112.278953552246,128.2
Angola,2010,4,10,AGO,Africa,23294825,3540.79159568381,113.87258174337,119.8
Angola,2011,2,1,AGO,Africa,24218352,3528.16824373399,128.386344899029,112.1
Angola,2013,1,2,AGO,Africa,26165620,3716.29718727282,NA,98.3
Angola,2014,6,0,AGO,Africa,27160769,3746.81619978613,NA,92.8
Angola,2015,2,1,AGO,Africa,28157798,3641.72893919944,120.580276489258,88.2
Angola,2016,18,26,AGO,Africa,29183070,3454.03317187119,NA,84.1
Angola,2017,24,26,AGO,Africa,30234839,3328.8982124109,NA,80.5
Angola,2018,6,24,AGO,Africa,31297155,3196.79006983557,NA,77.3
Angola,2019,11,26,AGO,Africa,32375632,3083.97534427357,NA,74.4
Angola,2020,26,29,AGO,Africa,33451132,2864.16146036893,NA,71.6
Angola,2021,4,13,AGO,Africa,34532429,2832.81777132286,89.2266094661321,69
Angola,2022,17,21,AGO,Africa,35635029,2860.90251922246,NA,66.4
Angola,2023,1,0,AGO,Africa,36749906,2809.15727975557,86.7353918783767,64
Angola,2024,10,25,AGO,Africa,37885849,2845.47779302975,NA,NA
Argentina,1992,1,0,ARG,Americas,33693527,9293.18692251748,NA,27.6
Argentina,1994,1,86,ARG,Americas,34613491,10359.8927204871,111.172019958496,25.4
